track,feature_set,mode,cost_bps,mean_net_return,mean_gross_return,mean_sharpe,mean_sortino,mean_max_drawdown,mean_turnover_units,mean_turnover_units_per_day,mean_position_change_events_per_day,mean_trade_count,mean_active_rate,mean_win_rate,mean_profit_factor,positive_fold_rate,folds,model_family_display
tuned_price_only,price_only,tuned,0.0,-0.0138169282092862,-0.0138169282092862,-0.6165835742568099,0.013892927006794,-0.1286553963925865,726.6666666666666,2.011364950838635,1.430599384200492,363.3333333333333,0.3956413083231675,0.5035588184632355,0.9570354196026644,0.3333333333333333,3,LightGBM
tuned_price_only,price_only,tuned,0.5,-0.0433425451344954,-0.0062910479259518,-0.9348433714890664,-0.2658893830163425,-0.1300354241274522,710.6666666666666,1.967271924751149,1.3956866976257558,355.3333333333333,0.384565793779291,0.4826754570148591,0.9452222338305624,0.3333333333333333,3,LightGBM
tuned_price_only,price_only,tuned,1.0,-0.0725627415014064,-0.0005328924204248,-1.2453657445587176,-0.5561834811494557,-0.1334059120687373,704.6666666666666,1.9507579677939788,1.3819276035342518,352.3333333333333,0.3817415891886253,0.4812803960959914,0.9356358451598172,0.3333333333333333,3,LightGBM
tuned_price_only,price_only,tuned,2.0,-0.1195233043187238,0.0074459877447539,-1.8078295762852192,-1.0724937436715165,-0.1503444815946078,648.0,1.793951477884996,1.270351429631208,324.0,0.3512843038476607,0.4775082965520479,0.9150559851602332,0.0,3,LightGBM
tuned_price_only,price_only,tuned,3.0,-0.1337855531546664,0.0263050849354501,-2.056728721173698,-1.217813549716521,-0.150666232922912,548.6666666666666,1.518198780802659,1.0843753276578765,274.3333333333333,0.3010268112779299,0.4773588311523031,0.9040636469622464,0.0,3,LightGBM
tuned_price_only,price_only,tuned,5.0,-0.1428413440059323,0.0228342534356624,-2.477967831640243,-1.2276846823078162,-0.1512118760832589,348.0,0.9617895390748576,0.7036602978431233,174.0,0.1907496429687848,0.4690546358728755,0.8643460582315182,0.0,3,LightGBM
tuned_volume_assisted,volume_assisted,tuned,0.0,-0.0006651861402021,-0.0006651861402021,0.0377996924890257,-0.024804744005149,-0.0753534807481215,937.3333333333334,2.583843211267034,2.186318529116313,468.6666666666667,0.2776210721728808,0.3370586766228109,0.6700486175643731,0.3333333333333333,3,LightGBM
tuned_volume_assisted,volume_assisted,tuned,0.5,-0.0371609438662947,0.0026523076200791,-0.414119559441378,-0.3601670605140526,-0.0868105656403776,819.3333333333334,2.2596673870912096,1.9189192617170456,409.6666666666667,0.2344254516100547,0.3091570058589787,0.6540255578044446,0.0,3,LightGBM
tuned_volume_assisted,volume_assisted,tuned,1.0,-0.0616945620076145,0.0132406834310145,-0.7564533947105527,-0.5915640032289793,-0.0931166572097769,778.6666666666666,2.147945775369598,1.8236811664789505,389.3333333333333,0.2199698875009109,0.307544871450823,0.6413239422847018,0.0,3,LightGBM
tuned_volume_assisted,volume_assisted,tuned,2.0,-0.0939892465676652,-0.0246262446630039,-1.7034445076740663,-0.883435706312936,-0.1006242080247817,380.6666666666667,1.0498209085466703,0.8918475338142929,190.33333333333331,0.1073746155919879,0.2996996628869139,0.5840670565061471,0.0,3,LightGBM
